world,type,neg_requests_rejected,contracts_signed,negs_failed,contracts_dropped,contracts_concluded,negs_timedout,breaches_received,neg_requests_received,contracts_nullified,negs_registered,negs_initiated,exceptions,negotiator_exceptions,neg_requests_sent,breaches_committed,contracts_executed,negs_succeeded,contracts_erred,contracts_breached,times
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-X5NL.0858fba0,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,870,138,0,437,29,0,464,0,464,464,[],[],464,0,435,326,0,0,5.410038284026086e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-X5NL.0858fba0,System,0,872,0,0,444,0,0,0,0,0,0,[],[],0,0,436,0,0,0,4.6100467443466187e-07
000320251205H1139423651402d3f_L-U-P3Oz.11b6d13b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,704,116,4,354,5,0,330,0,330,96,[],[],96,0,348,214,0,0,4.860048647969961e-07
000320251205H1139423651402d3f_L-U-P3Oz.11b6d13b,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,0,124,234,0,62,0,0,234,0,234,0,[],[],0,0,62,0,0,0,9.509967640042305e-07
000320251205H1139423651402d3f_L-U-P3Oz.11b6d13b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,0,154,267,0,78,4,0,280,0,280,280,[],[],280,0,77,13,0,0,2.7799978852272034e-07
000320251205H1139423651402d3f_L-U-P3Oz.11b6d13b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,216,193,0,109,38,0,234,0,234,0,[],[],0,0,108,41,0,0,2.7500209398567677e-07
000320251205H1139423651402d3f_L-U-P3Oz.11b6d13b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,592,401,0,298,161,0,560,0,560,560,[],[],560,0,296,159,0,0,4.920002538710833e-07
000320251205H1139423651402d3f_L-U-P3Oz.11b6d13b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,0,176,215,0,89,128,0,234,0,234,0,[],[],0,0,88,19,0,0,2.630040398798883e-07
000320251205H1139423651402d3f_L-U-P3Oz.11b6d13b,System,0,1074,0,0,544,0,0,0,0,0,0,[],[],0,0,537,0,0,0,5.210022209212184e-07
000120251205H113942213462aczN_L-X-UxR1.05d15556,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,2602,371,99,1304,19,0,1437,0,1437,807,[],[],807,0,1202,1066,0,0,1.181993866339326e-06
000120251205H113942213462aczN_L-X-UxR1.05d15556,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,0,330,221,2,166,0,0,306,0,306,306,[],[],306,0,163,85,0,0,1.2899981811642647e-06
000120251205H113942213462aczN_L-X-UxR1.05d15556,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,0,354,596,3,177,9,0,773,0,773,0,[],[],0,0,174,177,0,0,2.1600862964987755e-07
000120251205H113942213462aczN_L-X-UxR1.05d15556,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,194,287,0,98,1,0,306,0,306,306,[],[],306,0,97,17,0,0,2.4199835024774075e-07
000120251205H113942213462aczN_L-X-UxR1.05d15556,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,636,435,0,320,16,0,612,0,612,612,[],[],612,0,318,177,0,0,4.720059223473072e-07
000120251205H113942213462aczN_L-X-UxR1.05d15556,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,3564,922,34,1785,29,0,2464,0,2464,918,[],[],918,0,1748,1540,0,0,1.1399824870750308e-06
000120251205H113942213462aczN_L-X-UxR1.05d15556,System,0,1556,0,0,788,0,0,0,0,0,0,[],[],0,0,778,0,0,0,4.2699684854596853e-07
000120251205H113942213462aczN_P-K-OsuS.0329aaf6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,2592,148,112,1299,20,0,1209,0,1209,719,[],[],719,0,1184,1061,0,0,1.2939999578520656e-06
000120251205H113942213462aczN_P-K-OsuS.0329aaf6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.optimistic_agent.OptimisticAgent,0,360,260,24,180,79,0,440,0,440,0,[],[],0,0,156,180,0,0,2.7198984753340483e-07
000120251205H113942213462aczN_P-K-OsuS.0329aaf6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.katsudon_agent.KATSUDONAgent,0,326,172,4,164,116,0,255,0,255,255,[],[],255,0,159,83,0,0,9.71005647443235e-07
000120251205H113942213462aczN_P-K-OsuS.0329aaf6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,566,368,0,285,40,0,510,0,510,510,[],[],510,0,283,142,0,0,5.589972715824842e-07
000120251205H113942213462aczN_P-K-OsuS.0329aaf6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,3280,941,39,1643,315,0,2339,0,2339,765,[],[],765,0,1601,1398,0,0,1.2090022210031748e-06
000120251205H113942213462aczN_P-K-OsuS.0329aaf6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,0,252,209,7,127,0,0,255,0,255,255,[],[],255,0,119,46,0,0,2.390006557106972e-07
000120251205H113942213462aczN_P-K-OsuS.0329aaf6,System,0,1556,0,0,788,0,0,0,0,0,0,[],[],0,0,778,0,0,0,4.890025593340397e-07
000420251205H113942444814iCAZ_L-X-PARY.12e9ef58,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,520,229,3,261,1,0,391,0,391,391,[],[],391,0,257,162,0,0,2.1899904822930694e-07
000420251205H113942444814iCAZ_L-X-PARY.12e9ef58,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,0,230,382,0,116,0,0,397,0,397,397,[],[],397,0,115,15,0,0,1.7499405657872558e-07
000420251205H113942444814iCAZ_L-X-PARY.12e9ef58,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,334,300,2,168,1,0,398,0,398,0,[],[],0,0,165,98,0,0,7.939961506053805e-07
000420251205H113942444814iCAZ_L-X-PARY.12e9ef58,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,560,708,0,282,42,0,795,0,795,397,[],[],397,0,280,87,0,0,4.530011210590601e-07
000420251205H113942444814iCAZ_L-X-PARY.12e9ef58,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,768,604,1,386,42,0,795,0,795,397,[],[],397,0,383,191,0,0,4.28997736889869e-07
000420251205H113942444814iCAZ_L-X-PARY.12e9ef58,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,0,298,339,0,150,0,0,388,0,388,0,[],[],0,0,149,49,0,0,3.1600211514160037e-07
000420251205H113942444814iCAZ_L-X-PARY.12e9ef58,System,0,1506,0,0,761,0,0,0,0,0,0,[],[],0,0,753,0,0,0,4.960020305588841e-07
000220251205H1139423084075ixF_L-P-KXcb.0726207a,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,802,177,0,403,10,0,464,0,464,0,[],[],0,0,401,287,0,0,5.999972927384079e-07
000220251205H1139423084075ixF_L-P-KXcb.0726207a,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.katsudon_agent.KATSUDONAgent,0,342,119,0,172,1,0,232,0,232,0,[],[],0,0,171,113,0,0,1.1450028978288174e-06
000220251205H1139423084075ixF_L-P-KXcb.0726207a,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,194,185,0,98,1,0,232,0,232,232,[],[],232,0,97,47,0,0,2.800006768666208e-07
000220251205H1139423084075ixF_L-P-KXcb.0726207a,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,114,222,0,58,32,0,232,0,232,0,[],[],0,0,57,10,0,0,2.5200279196724296e-07
000220251205H1139423084075ixF_L-P-KXcb.0726207a,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,872,137,0,438,42,0,464,0,464,464,[],[],464,0,436,327,0,0,5.370020517148077e-07
000220251205H1139423084075ixF_L-P-KXcb.0726207a,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,0,188,196,0,95,0,0,232,0,232,232,[],[],232,0,94,36,0,0,2.439992385916412e-07
000220251205H1139423084075ixF_L-P-KXcb.0726207a,System,0,872,0,0,444,0,0,0,0,0,0,[],[],0,0,436,0,0,0,5.249967216514051e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-KmjS.07c13624,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,676,240,0,340,27,0,464,0,464,0,[],[],0,0,338,224,0,0,4.860048647969961e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-KmjS.07c13624,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.katsudon_agent.KATSUDONAgent,0,126,227,0,64,0,0,232,0,232,232,[],[],232,0,63,5,0,0,2.43991962634027e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-KmjS.07c13624,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,120,222,0,61,28,0,232,0,232,232,[],[],232,0,60,10,0,0,2.4199835024774075e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-KmjS.07c13624,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,0,324,126,0,163,6,0,232,0,232,0,[],[],0,0,162,104,0,0,9.20990714803338e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-KmjS.07c13624,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,112,223,0,57,35,0,232,0,232,0,[],[],0,0,56,9,0,0,2.2198946680873632e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-KmjS.07c13624,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,862,140,0,433,40,0,464,0,464,464,[],[],464,0,431,322,0,0,4.879984771832824e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-KmjS.07c13624,System,0,872,0,0,444,0,0,0,0,0,0,[],[],0,0,436,0,0,0,4.819885361939669e-07
000320251205H1139423651402d3f_L-U-PHVJ.10d3e5d8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,796,43,19,400,7,0,303,0,303,92,[],[],92,0,379,260,0,0,5.3399708122015e-07
000320251205H1139423651402d3f_L-U-PHVJ.10d3e5d8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,0,366,97,0,184,54,0,211,0,211,0,[],[],0,0,183,114,0,0,2.309971023350954e-07
000320251205H1139423651402d3f_L-U-PHVJ.10d3e5d8,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,544,1,14,272,0,0,211,0,211,0,[],[],0,0,258,210,0,0,9.1099354904145e-07
000320251205H1139423651402d3f_L-U-PHVJ.10d3e5d8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,194,181,0,98,38,0,211,0,211,0,[],[],0,0,97,30,0,0,2.890010364353657e-07
000320251205H1139423651402d3f_L-U-PHVJ.10d3e5d8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,1032,181,0,518,89,0,560,0,560,560,[],[],560,0,516,379,0,0,5.489855539053679e-07
000320251205H1139423651402d3f_L-U-PHVJ.10d3e5d8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,0,302,105,9,152,6,0,192,0,192,192,[],[],192,0,142,87,0,0,2.2399763111025095e-07
000320251205H1139423651402d3f_L-U-PHVJ.10d3e5d8,System,0,1074,0,0,544,0,0,0,0,0,0,[],[],0,0,537,0,0,0,5.269976099953055e-07
000020251205H113942142818qBUX_L-U-PUJo.01888572,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,1414,351,70,709,9,0,904,0,904,492,[],[],492,0,637,553,0,0,1.1399970389902592e-06
000020251205H113942142818qBUX_L-U-PUJo.01888572,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,0,198,337,0,100,5,0,360,0,360,360,[],[],360,0,99,23,0,0,2.7299392968416214e-07
000020251205H113942142818qBUX_L-U-PUJo.01888572,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,368,490,0,184,0,0,676,0,676,0,[],[],0,0,184,184,0,0,3.3799733500927687e-07
000020251205H113942142818qBUX_L-U-PUJo.01888572,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,646,1894,6,325,8,0,2066,0,2066,714,[],[],714,0,317,172,0,0,1.7630081856623292e-06
000020251205H113942142818qBUX_L-U-PUJo.01888572,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,1884,944,42,945,85,0,1646,0,1646,1080,[],[],1080,0,900,700,0,0,1.224005245603621e-06
000020251205H113942142818qBUX_L-U-PUJo.01888572,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,0,174,328,0,88,1,0,360,0,360,360,[],[],360,0,87,32,0,0,2.8300564736127853e-07
000020251205H113942142818qBUX_L-U-PUJo.01888572,System,0,1356,0,0,687,0,0,0,0,0,0,[],[],0,0,678,0,0,0,6.620102794840932e-07
000420251205H113942444814iCAZ_L-U-PP2L.145c353b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,516,140,2,259,6,0,300,0,300,300,[],[],300,0,256,160,0,0,2.4300243239849806e-07
000420251205H113942444814iCAZ_L-U-PP2L.145c353b,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,0,138,375,0,70,0,0,375,0,375,0,[],[],0,0,69,0,0,0,1.0839939932338893e-06
000420251205H113942444814iCAZ_L-U-PP2L.145c353b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,0,668,141,1,335,16,0,375,0,375,0,[],[],0,0,333,234,0,0,2.95003701467067e-07
000420251205H113942444814iCAZ_L-U-PP2L.145c353b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,532,702,0,268,10,0,775,0,775,400,[],[],400,0,266,73,0,0,5.170077201910317e-07
000420251205H113942444814iCAZ_L-U-PP2L.145c353b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,1314,311,1,659,14,0,775,0,775,400,[],[],400,0,656,464,0,0,5.430047167465091e-07
000420251205H113942444814iCAZ_L-U-PP2L.145c353b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,0,546,227,0,274,12,0,400,0,400,400,[],[],400,0,273,173,0,0,2.7500209398567677e-07
000420251205H113942444814iCAZ_L-U-PP2L.145c353b,System,0,1506,0,0,761,0,0,0,0,0,0,[],[],0,0,753,0,0,0,4.949979484081268e-07
000320251205H1139423651402d3f_L-P-OTsm.0939f94b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,734,96,11,369,10,0,325,0,325,92,[],[],92,0,356,229,0,0,4.979956429451704e-07
000320251205H1139423651402d3f_L-P-OTsm.0939f94b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.optimistic_agent.OptimisticAgent,0,280,155,3,140,74,0,233,0,233,0,[],[],0,0,137,78,0,0,1.0840012691915035e-06
000320251205H1139423651402d3f_L-P-OTsm.0939f94b,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,128,280,0,65,0,0,280,0,280,280,[],[],280,0,64,0,0,0,2.5199551600962877e-07
000320251205H1139423651402d3f_L-P-OTsm.0939f94b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,200,200,0,101,50,0,233,0,233,0,[],[],0,0,100,33,0,0,2.2099993657320738e-07
000320251205H1139423651402d3f_L-P-OTsm.0939f94b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,692,351,0,348,231,0,560,0,560,560,[],[],560,0,346,209,0,0,5.040055839344859e-07
000320251205H1139423651402d3f_L-P-OTsm.0939f94b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,0,180,212,0,91,103,0,233,0,233,0,[],[],0,0,90,21,0,0,2.5599729269742966e-07
000320251205H1139423651402d3f_L-P-OTsm.0939f94b,System,0,1074,0,0,544,0,0,0,0,0,0,[],[],0,0,537,0,0,0,5.119945853948593e-07
000320251205H1139423651402d3f_L-U-PHVJ.114b10ac,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,732,97,12,368,5,0,325,0,325,92,[],[],92,0,354,228,0,0,5.220063030719757e-07
000320251205H1139423651402d3f_L-U-PHVJ.114b10ac,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,0,358,116,0,179,34,0,233,0,233,0,[],[],0,0,179,117,0,0,9.359937394037843e-07
000320251205H1139423651402d3f_L-U-PHVJ.114b10ac,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,128,280,0,65,0,0,280,0,280,280,[],[],280,0,64,0,0,0,2.5999906938523054e-07
000320251205H1139423651402d3f_L-U-PHVJ.114b10ac,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,174,213,0,88,25,0,233,0,233,0,[],[],0,0,87,20,0,0,2.7500209398567677e-07
000320251205H1139423651402d3f_L-U-PHVJ.114b10ac,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,806,294,0,405,59,0,560,0,560,560,[],[],560,0,403,266,0,0,5.280016921460629e-07
000320251205H1139423651402d3f_L-U-PHVJ.114b10ac,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,0,228,188,2,115,1,0,233,0,233,0,[],[],0,0,112,45,0,0,2.979941200464964e-07
000320251205H1139423651402d3f_L-U-PHVJ.114b10ac,System,0,1074,0,0,544,0,0,0,0,0,0,[],[],0,0,537,0,0,0,5.319889169186354e-07
000120251205H113942213462aczN_LitaAgentY-LitaAgentYR-P5NB.047f8d73,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,2420,362,93,1213,27,0,1337,0,1337,807,[],[],807,0,1117,975,0,0,1.2709933798760176e-06
000120251205H113942213462aczN_LitaAgentY-LitaAgentYR-P5NB.047f8d73,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,282,233,1,142,0,0,296,0,296,296,[],[],296,0,140,61,0,0,2.710003172978759e-07
