world,type,negs_timedout,contracts_executed,negs_registered,negs_succeeded,contracts_breached,neg_requests_sent,negs_failed,breaches_received,contracts_erred,contracts_dropped,contracts_nullified,breaches_committed,neg_requests_rejected,times,contracts_signed,negs_initiated,negotiator_exceptions,exceptions,contracts_concluded,neg_requests_received
000020251210H223957824305qBUX_LitaAgentY-LitaAgentP-P29J.00c45fb9,System,0,706,0,0,0,0,0,0,0,0,0,0,0,3.5999983083456755e-07,1412,0,[],[],715,0
000120251210H223957863747wmRA_X-U-PFXu.04f74f3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,17,153,864,153,0,0,711,0,0,0,0,0,0,1.0000030670198612e-07,306,0,[],[],153,864
000120251210H223957863747wmRA_X-U-PFXu.04f74f3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,161,120,319,27,0,319,292,0,0,0,0,0,0,1.399998836859595e-07,240,319,[],[],120,319
000120251210H223957863747wmRA_X-U-PFXu.04f74f3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,60,1522,1555,1183,0,1276,372,0,0,35,0,0,0,4.399994395498652e-07,3114,1276,[],[],1561,1555
000120251210H223957863747wmRA_X-U-PFXu.04f74f3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,1,145,319,49,0,319,270,0,0,0,0,0,0,4.4999978854320943e-07,290,319,[],[],146,319
000120251210H223957863747wmRA_X-U-PFXu.04f74f3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,50,135,319,41,0,319,278,0,0,0,0,0,0,8.999995770864189e-08,270,319,[],[],136,319
000120251210H223957863747wmRA_X-U-PFXu.04f74f3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,251,1771,2366,1593,0,638,773,0,0,5,0,0,0,3.800000740739051e-07,3552,638,[],[],1778,2366
000120251210H223957863747wmRA_X-U-PFXu.04f74f3d,System,0,840,0,0,0,0,0,0,0,0,0,0,0,1.6000012692529708e-07,1680,0,[],[],848,0
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-UHsS.01dbd54d,System,0,706,0,0,0,0,0,0,0,0,0,0,0,2.1999949240125716e-07,1412,0,[],[],715,0
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-UHsS.01dbd54d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,2,94,300,17,0,300,283,0,0,0,0,0,0,8.999995770864189e-08,188,300,[],[],95,300
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-UHsS.01dbd54d,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentYTracked,0,94,300,23,0,300,276,0,0,1,0,0,0,8.999995770864189e-08,190,300,[],[],96,300
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-UHsS.01dbd54d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,7,635,878,560,0,447,318,0,0,85,0,0,0,3.600007403292693e-07,1440,447,[],[],722,878
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-UHsS.01dbd54d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,3,368,1827,213,0,529,1613,0,0,6,0,0,0,7.500002539018169e-07,748,529,[],[],376,1827
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-UHsS.01dbd54d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,8,863,1374,681,0,900,693,0,0,54,0,0,0,3.5999983083456755e-07,1834,900,[],[],920,1374
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-UHsS.01dbd54d,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentNTracked,0,164,273,182,0,0,91,0,0,18,0,0,0,8.000006346264854e-08,364,0,[],[],182,273
000020251210H223957824305qBUX_L-X-U7zO.0230a18c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,2,93,357,21,0,357,336,0,0,0,0,0,0,1.200000951939728e-07,186,357,[],[],94,357
000020251210H223957824305qBUX_L-X-U7zO.0230a18c,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentYTracked,0,156,667,157,0,0,507,0,0,1,0,0,0,1.1999964044662192e-07,314,0,[],[],157,667
000020251210H223957824305qBUX_L-X-U7zO.0230a18c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,5,673,949,583,0,509,365,0,0,70,0,0,0,5.299993972585071e-07,1486,509,[],[],745,949
000020251210H223957824305qBUX_L-X-U7zO.0230a18c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,0,84,357,7,0,357,350,0,0,0,0,0,0,1.200000951939728e-07,168,357,[],[],85,357
000020251210H223957824305qBUX_L-X-U7zO.0230a18c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,7,447,2003,288,0,669,1715,0,0,2,0,0,0,8.199995136237703e-07,898,669,[],[],451,2003
000020251210H223957824305qBUX_L-X-U7zO.0230a18c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,12,1007,1593,820,0,1071,771,0,0,49,0,0,0,5.599999894911889e-07,2112,1071,[],[],1059,1593
000020251210H223957824305qBUX_L-X-U7zO.0230a18c,System,0,706,0,0,0,0,0,0,0,0,0,0,0,2.400001903879456e-07,1412,0,[],[],715,0
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-LitaAgentNnVp.1483e6ad,System,0,460,0,0,0,0,0,0,0,0,0,0,0,2.9000011636526324e-07,920,0,[],[],467,0
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-LitaAgentNnVp.1483e6ad,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentYTracked,0,0,418,0,0,0,159,0,0,0,0,0,0,1.399998836859595e-07,0,0,[],[],0,418
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-LitaAgentNnVp.1483e6ad,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIRTracked,0,125,259,73,0,0,186,0,0,0,0,0,0,6.499999471998308e-07,250,0,[],[],125,259
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-LitaAgentNnVp.1483e6ad,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,8,487,651,359,0,384,142,0,0,43,0,0,0,5.600004442385398e-07,1060,384,[],[],533,651
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-LitaAgentNnVp.1483e6ad,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,248,1560,188,0,1560,742,0,0,0,0,0,0,5.699998837371822e-07,496,1560,[],[],249,1560
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-LitaAgentNnVp.1483e6ad,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,8,916,1808,742,0,613,510,0,0,3,0,0,0,9.199998203257564e-07,1838,613,[],[],922,1808
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-LitaAgentNnVp.1483e6ad,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentNTracked,0,90,418,106,0,0,53,0,0,16,0,0,0,1.399998836859595e-07,212,0,[],[],106,418
000220251210H223957905396qy6l_L-P-K7Ta.073f7e3d,System,0,554,0,0,0,0,0,0,0,0,0,0,0,3.600007403292693e-07,1108,0,[],[],561,0
000220251210H223957905396qy6l_L-P-K7Ta.073f7e3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,8,112,247,42,0,247,205,0,0,0,0,0,0,1.5000023267930374e-07,224,247,[],[],113,247
000220251210H223957905396qy6l_L-P-K7Ta.073f7e3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,10,488,482,354,0,482,128,0,0,6,0,0,0,3.0999945010989904e-07,988,482,[],[],496,482
000220251210H223957905396qy6l_L-P-K7Ta.073f7e3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,70,1617,2363,1284,0,1235,1079,0,0,11,0,0,0,1.8499995348975062e-06,3256,1235,[],[],1632,2363
000220251210H223957905396qy6l_L-P-K7Ta.073f7e3d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.katsudon_agent.KATSUDONAgent,42,91,564,92,0,0,472,0,0,1,0,0,0,1.6000012692529708e-07,184,0,[],[],92,564
000220251210H223957905396qy6l_L-P-K7Ta.073f7e3d,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentNTracked,0,206,272,218,0,0,54,0,0,12,0,0,0,1.5000023267930374e-07,436,0,[],[],218,272
000420251210H223957973606jpxE_L-Po-PrIE8.1467cbb7,System,0,460,0,0,0,0,0,0,0,0,0,0,0,2.299998413946014e-07,920,0,[],[],467,0
000420251210H223957973606jpxE_L-Po-PrIE8.1467cbb7,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,119,52,272,0,0,0,272,0,0,0,0,0,0,7.509997885790654e-07,104,0,[],[],52,272
000420251210H223957973606jpxE_L-Po-PrIE8.1467cbb7,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,10,505,661,375,0,371,121,0,0,41,0,0,0,3.499994818412233e-07,1092,371,[],[],549,661
000420251210H223957973606jpxE_L-Po-PrIE8.1467cbb7,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,54,217,1572,157,0,1572,776,0,0,0,0,0,0,5.800002327305265e-07,434,1572,[],[],218,1572
000420251210H223957973606jpxE_L-Po-PrIE8.1467cbb7,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,0,24,425,25,0,0,128,0,0,1,0,0,0,8.999995770864189e-08,50,0,[],[],25,425
000420251210H223957973606jpxE_L-Po-PrIE8.1467cbb7,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,121,943,1951,769,0,710,568,0,0,3,0,0,0,7.49999799154466e-07,1892,710,[],[],949,1951
000420251210H223957973606jpxE_L-Po-PrIE8.1467cbb7,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentNTracked,0,95,425,106,0,0,47,0,0,11,0,0,0,8.999995770864189e-08,212,0,[],[],106,425
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-Kw74.0936afdf,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentPTracked,0,93,380,0,0,380,380,0,0,0,0,0,0,1.1999964044662192e-07,186,380,[],[],94,380
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-Kw74.0936afdf,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentYTracked,0,135,265,50,0,0,215,0,0,2,0,0,0,8.200004231184721e-07,274,0,[],[],138,265
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-Kw74.0936afdf,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,2,312,300,141,0,300,159,0,0,6,0,0,0,1.7999991541728377e-07,636,300,[],[],320,300
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-Kw74.0936afdf,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,14,407,910,124,0,380,786,0,0,0,0,0,0,2.6999987312592566e-07,814,380,[],[],410,910
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-Kw74.0936afdf,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.katsudon_agent.KATSUDONAgent,2,153,265,67,0,0,198,0,0,4,0,0,0,1.200005499413237e-07,314,0,[],[],158,265
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-Kw74.0936afdf,System,0,730,0,0,0,0,0,0,0,0,0,0,0,2.0000061340397224e-07,1460,0,[],[],738,0
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-XI9l.09f1910f,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYRTracked,0,151,287,61,0,0,226,0,0,0,0,0,0,1.3000044418731704e-07,302,0,[],[],152,287
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-XI9l.09f1910f,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIRTracked,0,93,380,0,0,380,380,0,0,0,0,0,0,8.999995770864189e-08,186,380,[],[],94,380
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-XI9l.09f1910f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,3,348,388,171,0,388,217,0,0,0,0,0,0,1.6999911167658865e-07,696,388,[],[],350,388
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-XI9l.09f1910f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,0,194,287,107,0,0,180,0,0,0,0,0,0,4.199991963105276e-07,388,0,[],[],195,287
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-XI9l.09f1910f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,3,464,954,181,0,380,773,0,0,0,0,0,0,2.6999987312592566e-07,928,380,[],[],467,954
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-XI9l.09f1910f,System,0,730,0,0,0,0,0,0,0,0,0,0,0,1.7999991541728377e-07,1460,0,[],[],738,0
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-PlAe.0923548d,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentPTracked,0,90,322,0,0,0,322,0,0,0,0,0,0,1.2999953469261527e-07,180,0,[],[],91,322
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-PlAe.0923548d,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYRTracked,0,155,322,70,0,0,252,0,0,2,0,0,0,6.199998097144999e-07,314,0,[],[],158,322
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-PlAe.0923548d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,0,117,380,24,0,380,356,0,0,0,0,0,0,8.999995770864189e-08,234,380,[],[],118,380
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-PlAe.0923548d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,1,295,528,120,0,528,408,0,0,2,0,0,0,1.7999991541728377e-07,594,528,[],[],299,528
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-PlAe.0923548d,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,37,451,1024,168,0,380,856,0,0,0,0,0,0,2.6999987312592566e-07,902,380,[],[],454,1024
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-PlAe.0923548d,System,0,730,0,0,0,0,0,0,0,0,0,0,0,2.099995981552638e-07,1460,0,[],[],738,0
000020251210H223957824305qBUX_L-U-Oftt.026adae9,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentPTracked,0,0,654,0,0,0,654,0,0,0,0,0,0,8.999995770864189e-08,0,0,[],[],0,654
000020251210H223957824305qBUX_L-U-Oftt.026adae9,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,6,97,338,20,0,338,318,0,0,0,0,0,0,8.999995770864189e-08,194,338,[],[],98,338
000020251210H223957824305qBUX_L-U-Oftt.026adae9,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,9,596,848,506,0,479,342,0,0,70,0,0,0,3.499999365885742e-07,1332,479,[],[],668,848
000020251210H223957824305qBUX_L-U-Oftt.026adae9,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,5,369,1903,212,0,595,1691,0,0,4,0,0,0,7.20000116416486e-07,746,595,[],[],375,1903
000020251210H223957824305qBUX_L-U-Oftt.026adae9,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.optimistic_agent.OptimisticAgent,5,106,338,35,0,338,303,0,0,1,0,0,0,8.999995770864189e-08,214,338,[],[],108,338
000020251210H223957824305qBUX_L-U-Oftt.026adae9,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,97,674,1447,471,0,1014,976,0,0,33,0,0,0,3.700001798279118e-07,1414,1014,[],[],710,1447
000020251210H223957824305qBUX_L-U-Oftt.026adae9,System,0,706,0,0,0,0,0,0,0,0,0,0,0,1.8000037016463466e-07,1412,0,[],[],715,0
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-On9M.093b194f,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYRTracked,1,132,281,44,0,0,237,0,0,2,0,0,0,1.90000264410628e-07,268,0,[],[],135,281
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-On9M.093b194f,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIRTracked,0,168,281,89,0,0,192,0,0,8,0,0,0,6.300001587078441e-07,352,0,[],[],177,281
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-On9M.093b194f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,8,331,364,164,0,364,200,0,0,10,0,0,0,3.000000106112566e-07,682,364,[],[],343,364
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-On9M.093b194f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,11,402,942,119,0,380,823,0,0,0,0,0,0,4.4000080379191786e-07,804,380,[],[],405,942
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-On9M.093b194f,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.optimistic_agent.OptimisticAgent,0,117,380,24,0,380,356,0,0,0,0,0,0,1.5000023267930374e-07,234,380,[],[],118,380
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-On9M.093b194f,System,0,730,0,0,0,0,0,0,0,0,0,0,0,2.8999966161791235e-07,1460,0,[],[],738,0
000420251210H223957973606jpxE_L-X-OjYQ.124c0e2e,System,0,460,0,0,0,0,0,0,0,0,0,0,0,1.9999970390927047e-07,920,0,[],[],467,0
000420251210H223957973606jpxE_L-X-OjYQ.124c0e2e,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,12,574,813,428,0,597,265,0,0,25,0,0,0,3.600007403292693e-07,1198,597,[],[],602,813
000420251210H223957973606jpxE_L-X-OjYQ.124c0e2e,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,0,37,493,37,0,0,198,0,0,0,0,0,0,8.999995770864189e-08,74,0,[],[],37,493
000420251210H223957973606jpxE_L-X-OjYQ.124c0e2e,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,12,324,1536,266,0,1536,658,0,0,2,0,0,0,3.7999961932655424e-07,652,1536,[],[],327,1536
000420251210H223957973606jpxE_L-X-OjYQ.124c0e2e,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.optimistic_agent.OptimisticAgent,12,92,493,95,0,0,140,0,0,3,0,0,0,8.999995770864189e-08,190,0,[],[],95,493
000420251210H223957973606jpxE_L-X-OjYQ.124c0e2e,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,12,1019,1861,842,0,594,479,0,0,0,0,0,0,5.799993232358247e-07,2038,594,[],[],1022,1861
